n, iterative-time, recursive-time
1265,4666,4667
1266,4666,4833
1267,4708,4667
1268,4709,4708
1269,4667,4708
1270,4833,4708
1271,4500,4458
1272,4500,4500
1273,4542,4500
1274,4541,4583
1275,4916,4708
1276,4708,4750
1277,4709,4708
1278,4750,4750
1279,4708,4958
1280,4583,4541
1281,4541,4625
1282,4583,4583
1283,4542,4542
1284,4709,4792
1285,4458,4416
1286,4417,4416
1287,4417,4458
1288,4417,4459
1289,4500,4459
1290,4458,4458
1291,4459,4459
1292,4417,4459
1293,4458,4458
1294,4500,4500
1295,4500,4458
1296,4458,4458
1297,4500,4500
1298,4500,4458
1299,4500,4459
1300,4458,4458
1301,4542,4500
1302,4500,4458
1303,4500,4500
1304,4500,4500
1305,4458,4500
1306,4500,4500
1307,4500,4500
1308,4500,4500
1309,4500,4500
1310,4500,4542
1311,4541,4500
1312,4500,4541
1313,4542,4542
1314,4500,4500
1315,4541,4542
1316,4542,4500
1317,4542,4541
1318,4541,4542
1319,4542,4542
1320,4584,4542
1321,4583,4542
1322,4583,4541
1323,4542,4542
1324,4541,4583
1325,4542,4584
1326,4541,4583
1327,4583,4583
1328,4583,4542
1329,4583,4708
1330,4583,4583
1331,4583,4583
1332,4584,4584
1333,4583,4625
1334,4584,4625
1335,4625,4583
1336,4584,4625
1337,4625,4583
1338,4583,4625
1339,4625,4625
1340,4625,4625
1341,4625,4625
1342,4625,4625
1343,4625,4625
1344,4625,4625
1345,4625,4625
1346,4625,4667
1347,4667,4625
1348,4667,4625
1349,4667,4667
1350,4667,4666
1351,4666,4667
1352,4667,4666
1353,4667,4666
1354,4667,4666
1355,4667,4666
1356,4666,4667
1357,4667,4708
1358,4708,4708
1359,4667,4708
1360,4708,4666
1361,4708,4708
1362,4708,4750
1363,4792,4750
1364,4708,4708
1365,4708,4708
1366,4709,4709
1367,4709,4709
1368,4708,4708
1369,4750,4667
1370,4750,4708
1371,4708,4750
1372,4750,4750
1373,4750,4709
1374,4750,4750
1375,4750,4750
1376,4750,4750
1377,4750,4750
1378,4750,4750
1379,4750,4750
1380,4792,4750
1381,4750,4750
1382,4792,4791
1383,4791,4750
1384,4791,4791
1385,5125,4959
1386,4959,4959
1387,4917,4958
1388,4916,4916
1389,5291,5125
1390,5125,5125
1391,5375,4958
1392,5125,5125
1393,4791,4792
1394,4792,4834
1395,4792,4834
1396,4792,4834
1397,4792,4833
1398,4875,4792
1399,4791,4833
1400,4792,4833
1401,4834,4834
1402,4833,4833
1403,4833,4833
1404,4834,4833
1405,4833,4875
1406,4833,4833
1407,4875,4875
1408,4833,4875
1409,4833,4875
1410,4875,4875
1411,4875,4875
1412,4875,4875
1413,4875,4875
1414,4917,4875
1415,4875,4875
1416,4875,4875
1417,4875,4875
1418,4875,4917
1419,4958,4958
1420,4875,4875
1421,4875,4958
1422,4875,4917
1423,4875,4875
1424,4875,4917
1425,4916,4917
1426,4917,5000
1427,4917,4916
1428,4958,4917
1429,4875,4917
1430,4917,4958
1431,4958,4958
1432,4958,4917
1433,4917,4959
1434,4958,4958
1435,4958,4958
1436,4958,4958
1437,4958,4958
1438,4958,4958
1439,4958,4958
1440,4958,4958
1441,4917,4959
1442,5000,4958
1443,5000,5000
1444,5000,4959
1445,5000,5000
1446,4959,5000
1447,5000,5000
1448,4959,4958
1449,5000,5000
1450,5000,5000
1451,5042,5000
1452,5000,5000
1453,5042,4959
1454,5000,5000
1455,5042,5000
1456,5000,5000
1457,5042,5000
1458,5041,5000
1459,5042,5041
1460,5041,5000
1461,5042,5041
1462,5125,5041
1463,5042,5042
1464,5083,5041
1465,5042,5041
1466,5042,5084
1467,5041,5125
1468,5041,5083
1469,5083,5083
1470,5083,5042
1471,5084,5084
1472,5083,5083
1473,5083,5125
1474,5042,5042
1475,5125,5083
1476,5125,5125
1477,5125,5084
1478,5083,5083
1479,5167,5125
1480,5083,5125
1481,5125,5125
1482,5125,5083
1483,5084,5083
1484,5125,5125
1485,5625,5292
1486,5333,5291
1487,5333,5291
1488,5291,5333
1489,5750,5500
1490,5542,5500
1491,5542,5334
1492,5542,5125
1493,5167,5166
1494,5125,5167
1495,5167,5167
1496,5167,5166
1497,5166,5167
1498,5125,5167
1499,5167,5208
1500,5167,5208
1501,5208,5167
1502,5166,5208
1503,5209,5167
1504,5167,5209
1505,5208,5167
1506,5166,5250
1507,5208,5125
1508,5209,5250
1509,5208,5166
1510,5209,5209
1511,5208,5208
1512,5291,5208
1513,5250,5209
1514,5250,5167
1515,5209,5209
1516,5250,5208
1517,5250,5250
1518,5250,5250
1519,5209,5250
1520,5250,5250
1521,5167,5334
1522,5250,5250
1523,5250,5250
1524,5250,5250
1525,5292,5291
1526,5250,5250
1527,5292,5291
1528,5292,5334
1529,5292,5250
1530,5291,5292
1531,5166,5333
1532,5250,5250
1533,5334,5292
1534,5292,5292
1535,5292,5292
1536,5292,5292
1537,5292,5291
1538,5333,5333
1539,5334,5334
1540,5250,5292
1541,5250,5292
1542,5292,5375
1543,5250,5334
1544,5292,5334
1545,5333,5333
1546,5334,5334
1547,5292,5333
1548,5375,5333
1549,5416,5375
